"RecordingTimestamp"	"MediaName"	"PupilLeft"	"PupilRight"
"51"	NA	"3.66"	"3.45"
"68"	NA	"3.67"	"3.42"
"85"	NA	"3.66"	"3.46"
"101"	NA	"3.66"	"3.45"
"118"	NA	"3.67"	"3.46"
"126"	NA	NA	NA
"135"	NA	"3.67"	"3.47"
"152"	NA	"3.69"	"3.45"
"168"	NA	"3.69"	"3.48"
"185"	NA	"3.69"	"3.47"
"201"	NA	"3.7"	"3.49"
"218"	NA	"3.71"	"3.5"
"235"	NA	"3.72"	"3.49"
"251"	NA	"3.71"	"3.54"
"268"	NA	"3.75"	"3.57"
"285"	NA	"3.72"	"3.56"
"301"	NA	"3.76"	"3.59"
"318"	NA	"3.75"	"3.57"
"335"	NA	"3.75"	"3.59"
"351"	NA	"3.77"	"3.58"
"368"	NA	"3.76"	"3.58"
"385"	NA	"3.78"	"3.6"
"401"	NA	"3.78"	"3.6"
"418"	NA	"3.78"	"3.6"
"435"	NA	"3.8"	"3.6"
"451"	NA	"3.79"	"3.62"
"468"	NA	"3.81"	"3.61"
"485"	NA	"3.81"	"3.62"
"501"	NA	"3.81"	"3.63"
"518"	NA	"3.82"	"3.63"
"535"	NA	"3.85"	"3.64"
"551"	NA	"3.83"	"3.62"
"568"	NA	"3.85"	"3.64"
"585"	NA	"3.85"	"3.63"
"601"	NA	"3.85"	"3.65"
"618"	NA	"3.87"	"3.66"
"635"	NA	"3.87"	"3.66"
"651"	NA	"3.9"	NA
"668"	NA	"3.9"	"3.69"
"685"	NA	"3.91"	"3.7"
"701"	NA	"3.92"	"3.71"
"718"	NA	"3.93"	"3.71"
"735"	NA	"3.93"	"3.72"
"751"	NA	"3.94"	"3.73"
"768"	NA	"3.95"	"3.75"
"785"	NA	"3.98"	"3.77"
"801"	NA	"4"	"3.76"
"818"	NA	"4.01"	"3.77"
"835"	NA	"4.0199999999999996"	"3.76"
"851"	NA	"4.0199999999999996"	"3.79"
"868"	NA	"4.07"	"3.84"
"885"	NA	"4.05"	"3.89"
"901"	NA	"4.07"	"3.81"
"918"	NA	"4.08"	"3.83"
"935"	NA	"4.07"	"3.95"
"951"	NA	"4.09"	"3.85"
"968"	NA	"4.09"	"3.88"
"985"	NA	"4.0999999999999996"	"3.88"
"1001"	NA	"4.12"	"3.94"
"1018"	NA	"4.1100000000000003"	"3.93"
"1034"	NA	"4.1100000000000003"	"3.9"
"1051"	NA	"4.12"	"3.93"
"1068"	NA	"4.16"	"3.96"
"1084"	NA	"4.1500000000000004"	"3.93"
"1101"	NA	"4.1399999999999997"	"4.01"
"1118"	NA	"4.1500000000000004"	"3.94"
"1134"	NA	"4.16"	"3.94"
"1151"	NA	"4.17"	"3.96"
"1168"	NA	"4.16"	"4.03"
"1184"	NA	"4.2"	"3.98"
"1201"	NA	"4.1900000000000004"	"4.0199999999999996"
"1218"	NA	"4.1900000000000004"	"3.98"
"1235"	NA	"4.22"	"4.03"
"1251"	NA	"4.2"	"3.99"
"1268"	NA	"4.21"	"4.01"
"1285"	NA	"4.21"	"4.0199999999999996"
"1301"	NA	"4.21"	"4.0199999999999996"
"1318"	NA	"4.2"	"4.0199999999999996"
"1335"	NA	"4.22"	"4.03"
"1351"	NA	"4.2300000000000004"	"4.04"
"1368"	NA	"4.26"	"4.05"
"1385"	NA	"4.28"	"4.05"
"1401"	NA	"4.25"	"4.0599999999999996"
"1418"	NA	"4.25"	"4.0599999999999996"
"1435"	NA	"4.26"	"4.08"
"1451"	NA	"4.25"	"4.07"
"1468"	NA	"4.2699999999999996"	"4.08"
"1485"	NA	"4.28"	"4.09"
"1501"	NA	"4.29"	"4.09"
"1518"	NA	NA	"4.0999999999999996"
"1535"	NA	"4.29"	"4.09"
"1551"	NA	"4.3099999999999996"	"4.09"
"1568"	NA	"4.33"	"4.09"
"1585"	NA	"4.32"	"4.0999999999999996"
"1601"	NA	"4.32"	"4.0999999999999996"
"1618"	NA	"4.32"	"4.0999999999999996"
"1635"	NA	"4.3099999999999996"	"4.12"
"1651"	NA	"4.3"	"4.1399999999999997"
"1668"	NA	"4.3499999999999996"	"4.12"
"1685"	NA	"4.3600000000000003"	"4.12"
"1701"	NA	"4.33"	"4.12"
